,id,year,stint,team,lg,g,ab,r,h,X2b,X3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
21378,sprinru01,2005,1,HOU,NL,62,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21379,micelda01,2005,1,COL,NL,19,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21380,sweenma01,2005,1,SDN,NL,135,221,31,65,12,1,8,40.0,4.0,0.0,40,58.0,3.0,0.0,1.0,5.0,6.0
21381,hanseda01,2005,1,SEA,AL,60,75,5,13,0,0,2,11.0,1.0,0.0,9,19.0,1.0,0.0,2.0,2.0,1.0
21382,willige02,2005,1,NYN,NL,39,30,9,7,2,0,1,3.0,2.0,0.0,1,7.0,0.0,0.0,1.0,0.0,0.0
21383,harrile01,2005,1,FLO,NL,83,70,5,22,4,0,1,13.0,0.0,1.0,7,11.0,1.0,1.0,0.0,0.0,3.0
21384,stairma01,2005,1,KCA,AL,127,396,55,109,26,1,13,66.0,1.0,2.0,60,69.0,4.0,5.0,0.0,5.0,9.0
21385,mabryjo01,2005,1,SLN,NL,112,246,26,59,15,1,8,32.0,0.0,0.0,20,63.0,1.0,0.0,6.0,2.0,6.0
21386,mondera01,2005,1,ATL,NL,41,142,17,30,7,1,4,17.0,0.0,1.0,12,35.0,3.0,0.0,0.0,1.0,5.0
21387,loaizes01,2005,1,WAS,NL,34,74,3,12,2,0,0,4.0,0.0,1.0,0,23.0,0.0,0.0,6.0,0.0,1.0
21388,delgaca01,2005,1,FLO,NL,144,521,81,157,41,3,33,115.0,0.0,0.0,72,121.0,20.0,17.0,0.0,6.0,16.0
21389,valdeis01,2005,1,FLO,NL,14,13,0,2,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,3.0,0.0,0.0
21390,rodriiv01,2005,1,DET,AL,129,504,71,139,33,5,14,50.0,7.0,3.0,11,93.0,2.0,2.0,1.0,7.0,19.0
21391,seaneru01,2005,1,SDN,NL,57,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21392,rogerke01,2005,1,TEX,AL,30,3,0,1,0,1,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
21393,parkch01,2005,2,SDN,NL,10,14,2,3,0,0,0,2.0,0.0,0.0,0,5.0,0.0,0.0,4.0,0.0,0.0
21394,parkch01,2005,1,TEX,AL,20,5,0,2,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0
21395,palmera01,2005,1,BAL,AL,110,369,47,98,13,0,18,60.0,2.0,0.0,43,43.0,4.0,2.0,0.0,8.0,9.0
21396,gonzaju03,2005,1,CLE,AL,1,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21397,evereca01,2005,1,CHA,AL,135,490,58,123,17,2,23,87.0,4.0,5.0,42,99.0,2.0,5.0,0.0,10.0,11.0
21398,gomezch02,2005,1,BAL,AL,89,219,27,61,11,0,1,18.0,2.0,1.0,27,17.0,1.0,1.0,6.0,1.0,14.0
21399,flahejo01,2005,1,NYA,AL,47,127,10,21,5,0,2,11.0,0.0,0.0,6,26.0,0.0,1.0,2.0,2.0,4.0
21400,alvarwi01,2005,1,LAN,NL,21,2,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0
21401,timlimi01,2005,1,BOS,AL,81,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21402,williwo02,2005,1,SDN,NL,30,46,3,7,0,0,0,3.0,1.0,0.0,0,19.0,0.0,0.0,8.0,1.0,1.0
21403,martiti02,2005,1,NYA,AL,131,303,43,73,9,0,17,49.0,2.0,0.0,38,54.0,3.0,3.0,0.0,4.0,10.0
21404,edmonji01,2005,1,SLN,NL,142,467,88,123,37,1,29,89.0,5.0,5.0,91,139.0,10.0,4.0,1.0,4.0,6.0
21405,worreti01,2005,1,PHI,NL,19,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21406,worreti01,2005,2,ARI,NL,32,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
21407,witasja01,2005,1,COL,NL,32,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21408,witasja01,2005,2,OAK,AL,28,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21409,schmija01,2005,1,SFN,NL,29,53,2,5,0,0,1,2.0,0.0,0.0,0,32.0,0.0,1.0,6.0,0.0,0.0
21410,snowjt01,2005,1,SFN,NL,117,367,40,101,17,2,4,40.0,1.0,0.0,32,61.0,1.0,7.0,2.0,2.0,6.0
21411,santibe01,2005,1,PIT,NL,6,23,1,6,1,1,0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,1.0
21412,sandere02,2005,1,SLN,NL,93,295,49,80,14,2,21,54.0,14.0,1.0,28,75.0,1.0,4.0,0.0,2.0,8.0
21413,kentje01,2005,1,LAN,NL,149,553,100,160,36,0,29,105.0,6.0,2.0,72,85.0,8.0,8.0,0.0,4.0,19.0
21414,bondsba01,2005,1,SFN,NL,14,42,8,12,1,0,5,10.0,0.0,0.0,9,6.0,3.0,0.0,0.0,1.0,0.0
21415,bellda01,2005,1,PHI,NL,150,557,53,138,31,1,10,61.0,0.0,1.0,47,69.0,6.0,5.0,4.0,4.0,24.0
21416,rhodear01,2005,1,CLE,AL,47,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21417,sierrru01,2005,1,NYA,AL,61,170,14,39,12,0,4,29.0,0.0,0.0,9,41.0,1.0,0.0,0.0,2.0,2.0
21418,olerujo01,2005,1,BOS,AL,87,173,18,50,7,0,7,37.0,0.0,0.0,16,20.0,2.0,0.0,0.0,3.0,6.0
21419,nelsoje01,2005,1,SEA,AL,49,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21420,moyerja01,2005,1,SEA,AL,32,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0
21421,cirilje01,2005,1,MIL,NL,77,185,29,52,15,0,4,23.0,4.0,2.0,23,22.0,0.0,4.0,7.0,0.0,3.0
21422,bordepa01,2005,1,SEA,AL,39,117,12,23,5,0,1,7.0,0.0,0.0,4,22.0,1.0,1.0,2.0,1.0,4.0
21423,boonebr01,2005,1,SEA,AL,74,273,30,63,15,3,7,34.0,4.0,2.0,24,52.0,2.0,3.0,1.0,1.0,9.0
21424,boonebr01,2005,2,MIN,AL,14,53,3,9,0,0,0,3.0,0.0,0.0,4,13.0,0.0,1.0,0.0,0.0,3.0
21425,reedst01,2005,1,BAL,AL,30,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21426,nevinph01,2005,2,TEX,AL,29,99,15,18,5,0,3,8.0,2.0,0.0,8,30.0,0.0,1.0,0.0,0.0,6.0
21427,nevinph01,2005,1,SDN,NL,73,281,31,72,11,1,9,47.0,1.0,0.0,19,67.0,0.0,1.0,0.0,5.0,2.0
21428,kleskry01,2005,1,SDN,NL,137,443,61,110,19,1,18,58.0,3.0,4.0,75,80.0,2.0,1.0,0.0,1.0,6.0
21429,hoffmtr01,2005,1,SDN,NL,60,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21430,jarvike01,2005,1,SLN,NL,4,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21431,embreal01,2005,2,NYA,AL,24,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21432,embreal01,2005,1,BOS,AL,43,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21433,villoro01,2005,2,FLO,NL,27,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
21434,villoro01,2005,1,SEA,AL,52,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21435,prattto02,2005,1,PHI,NL,60,175,17,44,4,0,7,23.0,0.0,0.0,19,50.0,5.0,2.0,0.0,0.0,3.0
21436,mesajo01,2005,1,PIT,NL,55,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0
21437,cormirh01,2005,1,PHI,NL,57,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,2.0,0.0,0.0
21438,myersgr01,2005,1,TOR,AL,6,12,0,1,0,0,0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,2.0
21439,weathda01,2005,1,CIN,NL,73,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21440,trachst01,2005,1,NYN,NL,6,15,0,1,0,0,0,0.0,0.0,0.0,0,7.0,0.0,0.0,0.0,0.0,0.0
21441,piazzmi01,2005,1,NYN,NL,113,398,41,100,23,0,19,62.0,0.0,0.0,41,67.0,6.0,3.0,0.0,0.0,7.0
21442,leiteal01,2005,2,NYA,AL,16,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21443,leiteal01,2005,1,FLO,NL,17,18,0,0,0,0,0,0.0,0.0,0.0,0,12.0,0.0,0.0,4.0,0.0,0.0
21444,francjo01,2005,1,HOU,NL,31,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21445,astacpe01,2005,2,SDN,NL,12,16,1,1,0,0,0,1.0,0.0,0.0,1,5.0,0.0,0.0,5.0,0.0,2.0
21446,benitar01,2005,1,SFN,NL,30,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21447,burnije01,2005,1,CHN,NL,160,605,84,156,31,2,24,87.0,5.0,4.0,57,109.0,3.0,3.0,1.0,5.0,12.0
21448,astacpe01,2005,1,TEX,AL,12,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21449,willibe02,2005,1,NYA,AL,141,485,53,121,19,1,12,64.0,1.0,2.0,53,75.0,1.0,1.0,1.0,6.0,16.0
21450,wellsda01,2005,1,BOS,AL,30,7,1,1,0,0,0,1.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0
21451,whitero02,2005,1,DET,AL,97,374,49,117,24,3,12,53.0,1.0,0.0,17,48.0,0.0,5.0,0.0,4.0,8.0
21452,stantmi02,2005,2,WAS,NL,30,1,1,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21453,stantmi02,2005,1,NYA,AL,28,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21454,stantmi02,2005,3,BOS,AL,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21455,mussimi01,2005,1,NYA,AL,30,3,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0
21456,clemero02,2005,1,HOU,NL,32,58,2,12,2,0,0,4.0,0.0,0.0,5,18.0,0.0,1.0,5.0,0.0,1.0
21457,cordewi01,2005,1,WAS,NL,29,51,2,6,2,0,0,2.0,0.0,0.0,3,14.0,1.0,0.0,0.0,2.0,0.0
21458,guarded01,2005,1,SEA,AL,58,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21459,younger01,2005,1,SDN,NL,56,142,22,39,9,0,2,12.0,7.0,6.0,18,12.0,0.0,0.0,3.0,0.0,4.0
21460,hernajo01,2005,1,CLE,AL,84,234,28,54,7,0,6,31.0,1.0,3.0,14,60.0,0.0,2.0,3.0,3.0,11.0
21461,hammoje01,2005,1,WAS,NL,13,32,3,7,1,0,0,1.0,0.0,0.0,2,4.0,1.0,1.0,2.0,0.0,0.0
21462,quantpa01,2005,2,SDN,NL,22,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21463,quantpa01,2005,1,NYA,AL,22,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21464,quantpa01,2005,3,FLO,NL,6,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21465,mulhote01,2005,1,MIN,AL,49,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21466,jordabr01,2005,1,ATL,NL,76,231,25,57,8,2,3,24.0,2.0,0.0,14,46.0,0.0,3.0,0.0,3.0,5.0
21467,grissma02,2005,1,SFN,NL,44,137,8,29,4,0,2,15.0,1.0,1.0,7,18.0,0.0,0.0,2.0,1.0,9.0
21468,brownke01,2005,1,NYA,AL,13,2,0,1,1,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
21469,greensh01,2005,1,ARI,NL,158,581,87,166,37,4,22,73.0,8.0,4.0,62,95.0,6.0,5.0,0.0,8.0,18.0
21470,suppaje01,2005,1,SLN,NL,32,58,5,12,2,0,1,5.0,0.0,0.0,3,9.0,0.0,0.0,6.0,0.0,0.0
21471,perezne01,2005,1,CHN,NL,154,572,59,157,33,1,9,54.0,8.0,4.0,18,47.0,3.0,3.0,12.0,4.0,22.0
21472,hernaro01,2005,1,NYN,NL,67,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21473,grimsja01,2005,1,BAL,AL,22,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21474,zaungr01,2005,1,TOR,AL,133,434,61,109,18,1,11,61.0,2.0,3.0,73,70.0,2.0,0.0,0.0,5.0,11.0
21475,vizcajo01,2005,1,HOU,NL,98,187,15,46,10,2,1,23.0,2.0,0.0,15,40.0,4.0,0.0,1.0,2.0,2.0
21476,biggicr01,2005,1,HOU,NL,155,590,94,156,40,1,26,69.0,11.0,1.0,37,90.0,2.0,17.0,4.0,3.0,10.0
21477,bagweje01,2005,1,HOU,NL,39,100,11,25,4,0,3,19.0,0.0,0.0,18,21.0,1.0,1.0,0.0,4.0,2.0
21478,ausmubr01,2005,1,HOU,NL,134,387,35,100,19,0,3,47.0,5.0,3.0,51,48.0,8.0,5.0,7.0,1.0,17.0
21479,tavarju01,2005,1,SLN,NL,74,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0
21480,floydcl01,2005,1,NYN,NL,150,550,85,150,22,2,34,98.0,12.0,2.0,63,98.0,13.0,11.0,0.0,2.0,5.0
21481,easleda01,2005,1,FLO,NL,102,267,37,64,19,1,9,30.0,4.0,1.0,26,47.0,3.0,4.0,3.0,4.0,6.0
21482,whiteri01,2005,1,PIT,NL,71,2,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21483,walkela01,2005,1,SLN,NL,100,315,66,91,20,1,15,52.0,2.0,1.0,41,64.0,3.0,9.0,0.0,2.0,9.0
21484,merckke01,2005,1,CIN,NL,78,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21485,jonesto02,2005,1,FLO,NL,68,3,0,1,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0
21486,hollato01,2005,1,CHN,NL,107,268,23,68,17,2,5,35.0,4.0,4.0,18,53.0,1.0,1.0,1.0,2.0,4.0
21487,hollato01,2005,2,ATL,NL,24,35,3,6,0,0,1,1.0,0.0,1.0,5,13.0,0.0,0.0,0.0,0.0,1.0
21488,thomeji01,2005,1,PHI,NL,59,193,26,40,7,0,7,30.0,0.0,0.0,45,59.0,4.0,2.0,0.0,2.0,5.0
21489,vizquom01,2005,1,SFN,NL,152,568,66,154,28,4,3,45.0,24.0,10.0,56,58.0,0.0,5.0,20.0,2.0,10.0
21490,wickmbo01,2005,1,CLE,AL,64,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21491,lawtoma02,2005,1,PIT,NL,101,374,53,102,28,1,10,44.0,16.0,9.0,58,61.0,0.0,9.0,0.0,4.0,7.0
21492,lawtoma02,2005,2,CHN,NL,19,78,8,19,2,0,1,5.0,1.0,0.0,4,8.0,0.0,1.0,0.0,0.0,3.0
21493,lawtoma02,2005,3,NYA,AL,21,48,6,6,0,0,2,4.0,1.0,0.0,7,8.0,0.0,2.0,0.0,0.0,0.0
21494,walketo04,2005,1,CHN,NL,110,397,50,121,25,3,12,40.0,1.0,1.0,31,40.0,1.0,1.0,2.0,2.0,8.0
21495,stinnke01,2005,1,ARI,NL,59,129,15,32,4,0,6,12.0,0.0,0.0,12,32.0,3.0,1.0,1.0,0.0,4.0
21496,griffke02,2005,1,CIN,NL,128,491,85,148,30,0,35,92.0,0.0,1.0,54,93.0,3.0,3.0,0.0,7.0,9.0
21497,sosasa01,2005,1,BAL,AL,102,380,39,84,15,1,14,45.0,1.0,1.0,39,84.0,3.0,2.0,0.0,3.0,15.0
21498,gordoto01,2005,1,NYA,AL,79,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21499,gonzaal01,2005,1,TBA,AL,109,349,47,94,20,1,9,38.0,2.0,1.0,26,74.0,1.0,3.0,2.0,3.0,13.0
21500,fasseje01,2005,1,SFN,NL,48,13,0,0,0,0,0,0.0,0.0,0.0,0,6.0,0.0,0.0,1.0,0.0,0.0
21501,aloumo01,2005,1,SFN,NL,123,427,67,137,21,3,19,63.0,5.0,1.0,56,43.0,1.0,3.0,0.0,4.0,11.0
21502,valenjo03,2005,1,LAN,NL,56,147,17,25,4,2,2,14.0,3.0,1.0,31,38.0,2.0,4.0,0.0,2.0,2.0
21503,thomafr04,2005,1,CHA,AL,34,105,19,23,3,0,12,26.0,0.0,0.0,16,31.0,0.0,0.0,0.0,3.0,2.0
21504,loftoke01,2005,1,PHI,NL,110,367,67,123,15,5,2,36.0,22.0,3.0,32,41.0,2.0,2.0,5.0,0.0,3.0
21505,graffto01,2005,1,KCA,AL,59,191,29,57,5,2,3,18.0,3.0,1.0,22,28.0,1.0,2.0,2.0,0.0,6.0
21506,graffto01,2005,2,BOS,AL,51,188,39,60,12,1,4,20.0,4.0,1.0,9,23.0,1.0,2.0,0.0,1.0,8.0
21507,alomasa02,2005,1,TEX,AL,46,128,11,35,7,0,0,14.0,0.0,0.0,5,12.0,0.0,1.0,3.0,0.0,3.0
21508,claytro01,2005,1,ARI,NL,143,522,59,141,28,4,2,44.0,13.0,3.0,38,105.0,0.0,1.0,10.0,2.0,19.0
21509,wakefti01,2005,1,BOS,AL,33,8,1,2,0,0,0,1.0,0.0,0.0,0,2.0,0.0,0.0,1.0,0.0,0.0
21510,ramirma02,2005,1,BOS,AL,152,554,112,162,30,1,45,144.0,1.0,0.0,80,119.0,9.0,10.0,0.0,6.0,20.0
21511,sanchre01,2005,1,NYA,AL,23,43,7,12,1,0,0,2.0,0.0,1.0,2,3.0,0.0,1.0,2.0,0.0,2.0
21512,offerjo01,2005,1,PHI,NL,33,33,6,6,1,1,1,3.0,0.0,0.0,5,6.0,0.0,0.0,0.0,0.0,1.0
21513,offerjo01,2005,2,NYN,NL,53,72,5,18,2,0,1,10.0,0.0,0.0,6,11.0,0.0,1.0,1.0,0.0,3.0
21514,martipe02,2005,1,NYN,NL,31,69,2,6,0,0,0,1.0,0.0,0.0,1,26.0,0.0,0.0,6.0,0.0,1.0
21515,baergca01,2005,1,WAS,NL,93,158,18,40,7,0,2,19.0,0.0,0.0,7,17.0,0.0,8.0,1.0,0.0,4.0
21516,groombu01,2005,1,NYA,AL,24,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21517,groombu01,2005,2,ARI,NL,23,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21518,ericksc01,2005,1,LAN,NL,19,13,0,2,0,0,0,0.0,0.0,0.0,0,5.0,0.0,0.0,1.0,0.0,0.0
21519,coninje01,2005,1,FLO,NL,131,335,42,102,20,2,3,33.0,2.0,0.0,38,58.0,2.0,3.0,2.0,6.0,12.0
21520,smoltjo01,2005,1,ATL,NL,33,68,1,10,2,1,0,3.0,0.0,0.0,3,26.0,0.0,0.0,12.0,0.0,3.0
21521,surhobj01,2005,1,BAL,AL,91,303,30,78,11,2,5,34.0,0.0,0.0,11,32.0,1.0,1.0,2.0,4.0,6.0
21522,remlimi01,2005,1,CHN,NL,35,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21523,sheffga01,2005,1,NYA,AL,154,584,104,170,27,0,34,123.0,10.0,2.0,78,76.0,7.0,8.0,0.0,5.0,11.0
21524,remlimi01,2005,2,BOS,AL,8,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21525,maddugr01,2005,1,CHN,NL,35,76,4,13,0,0,1,5.0,1.0,0.0,0,15.0,0.0,0.0,7.0,0.0,4.0
21526,lopezja01,2005,1,BAL,AL,103,395,47,110,24,1,15,49.0,0.0,1.0,19,68.0,2.0,7.0,0.0,2.0,10.0
21527,glavito02,2005,1,NYN,NL,33,64,2,13,0,0,0,3.0,0.0,0.0,2,13.0,0.0,0.0,5.0,0.0,0.0
21528,francju01,2005,1,ATL,NL,108,233,30,64,12,1,9,42.0,4.0,0.0,27,57.0,1.0,1.0,1.0,3.0,10.0
21529,castivi02,2005,1,WAS,NL,142,494,53,125,36,1,12,66.0,4.0,2.0,43,82.0,7.0,7.0,1.0,4.0,16.0
21530,womacto01,2005,1,NYA,AL,108,329,46,82,8,1,0,15.0,27.0,5.0,12,49.0,0.0,1.0,7.0,2.0,7.0
21531,schilcu01,2005,1,BOS,AL,32,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21532,myersmi01,2005,1,BOS,AL,65,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21533,johnsra05,2005,1,NYA,AL,34,8,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0
21534,helliri01,2005,1,MIL,NL,15,13,0,0,0,0,0,0.0,0.0,0.0,0,9.0,0.0,0.0,1.0,0.0,1.0
21535,gonzalu01,2005,1,ARI,NL,155,579,90,157,37,0,24,79.0,4.0,1.0,78,90.0,12.0,11.0,0.0,4.0,14.0
21536,finlest01,2005,1,LAA,AL,112,406,41,90,20,3,12,54.0,8.0,4.0,26,71.0,3.0,3.0,1.0,4.0,6.0
21537,seleaa01,2005,1,SEA,AL,21,3,1,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0
